,,,,,,,,,,,ORDEN,SERVICIO
,,,,,,,,,,,,
ORIGEN,LINEA,DESTINO,TIPO/NEGOCIACION,DIAS LIBRES,VIGENCIA DESDE ,VIGENCIA HASTA,AGENTE,CONTRATO,TT,MONEDA,FLETE MARITIMO CARGA SUELTA,
CALCUTTA,CHARTER LINK LOGISTICS ECUADOR S.A.S.,GUAYAQUIL,AGENTE COLOADER,0,01/01/2026,10/01/2026,CHARTER LINK LOGISTICS ECUADOR S.A.S.                                                               ,,66-66,DOLAR,$ 61.00,
CALCUTTA,CHARTER LINK LOGISTICS ECUADOR S.A.S.,GUAYAQUIL,AGENTE COLOADER,0,10/01/2026,21/01/2026,CHARTER LINK LOGISTICS ECUADOR S.A.S.                                                               ,,66-66,DOLAR,$ 59.00,
CALCUTTA,CRAFT ECUADOR MULTIMODAL CRAFTECMUL S.A.,GUAYAQUIL,AGENTE COLOADER,0,01/01/2026,31/12/2026,CRAFT ECUADOR MULTIMODAL CRAFTECMUL S.A.                                                            ,,60-60,DOLAR,$ 170.00,
CALCUTTA,ECU - WORLDWIDE - (ECUADOR) S.A.,GUAYAQUIL,AGENTE COLOADER,0,01/01/2026,14/01/2026,ECU - WORLDWIDE - (ECUADOR) S.A.                                                                    ,,70-70,DOLAR,$ 35.00,
CALCUTTA,MARITIME SERVICES LINE DEL ECUADOR MSL DEL ECUADOR S.A.,GUAYAQUIL,AGENTE COLOADER,0,01/01/2026,10/01/2026,MARITIME SERVICES LINE DEL ECUADOR MSL DEL ECUADOR S.A.                                             ,,35-40,DOLAR,$ 57.00,
CALLAO,CHARTER LINK LOGISTICS ECUADOR S.A.S.,GUAYAQUIL,AGENTE COLOADER,0,01/01/2026,10/01/2026,CHARTER LINK LOGISTICS ECUADOR S.A.S.                                                               ,,2,DOLAR,$ 1.00,
CALLAO,CHARTER LINK LOGISTICS ECUADOR S.A.S.,GUAYAQUIL,AGENTE COLOADER,0,10/01/2026,31/01/2026,CHARTER LINK LOGISTICS ECUADOR S.A.S.                                                               ,,2,DOLAR,$ 1.00,
CALLAO,CRAFT ECUADOR MULTIMODAL CRAFTECMUL S.A.,GUAYAQUIL,AGENTE COLOADER,0,01/01/2026,31/01/2026,CRAFT ECUADOR MULTIMODAL CRAFTECMUL S.A.                                                            ,,2-2,DOLAR,$ 1.00,
CALLAO,ECU - WORLDWIDE - (ECUADOR) S.A.,GUAYAQUIL,AGENTE COLOADER,0,01/01/2026,31/01/2026,ECU - WORLDWIDE - (ECUADOR) S.A.                                                                    ,,4,DOLAR,$ 5.00,
CALLAO,INCA LINES DEL ECUADOR INCALINES S.A.,GUAYAQUIL,AGENTE COLOADER,0,15/12/2025,21/01/2026,INCA LINES DEL ECUADOR INCALINES S.A.                                                               ,,3,DOLAR,$ 1.00,
