,,,,,,,,,,,ORDEN,SERVICIO,,,
,,,,,,,,,,,5,,4,3,2
ORIGEN,LINEA,DESTINO,TIPO/NEGOCIACION,DIAS LIBRES,VIGENCIA DESDE ,VIGENCIA HASTA,AGENTE,CONTRATO,TT,MONEDA,20 GP,,40 GP,40 HC,40 NOR
BARRANQUILLA,CMA-CGM,GUAYAQUIL,DIRECTA,21,01/01/2026,31/03/2026,                                                                                                    ,QFARS0000007,14-15,DOLAR,$ 925.00,,"$ 1,700.00","$ 1,700.00",
BARRANQUILLA,COSCO SHIPPING LINES CO. LTD.,GUAYAQUIL,AGENTE PROPIO,17,01/01/2026,31/01/2026,DEPLOYMENT LOGISTICS S.A.S.                                                                         ,DEPLOG,7-8,DOLAR,$ 840.00,,$ 880.00,$ 880.00,
BARRANQUILLA,COSCO SHIPPING LINES CO. LTD.,GUAYAQUIL,AGENTE PROPIO,17,01/01/2026,31/01/2026,ICL FREIGHT COLOMBIA SAS                                                                            ,AGENTE ICL,13-14,DOLAR,$ 650.00,,$ 690.00,$ 690.00,
BARRANQUILLA,COSCO SHIPPING LINES CO. LTD.,POSORJA,AGENTE PROPIO,17,01/01/2026,31/01/2026,ICL FREIGHT COLOMBIA SAS                                                                            ,AGENTE ICL,10-11,DOLAR,$ 650.00,,$ 690.00,$ 690.00,
BARRANQUILLA,Hapag Lloyd,POSORJA,DIRECTA,14,01/01/2026,18/01/2026,                                                                                                    ,W251200560697,14-15,DOLAR,$ 720.00,,"$ 1,561.00","$ 1,561.00",
BARRANQUILLA,Hapag Lloyd,POSORJA,DIRECTA,14,01/01/2026,31/03/2026,                                                                                                    ,8070485-COTIZACION Q2512LIM00201,14-15,DOLAR,$ 714.00,,"$ 1,439.00","$ 1,439.00",
BARRANQUILLA,Hapag Lloyd,POSORJA,DIRECTA,7,01/01/2026,18/01/2026,                                                                                                    ,W251200560851,14-15,DOLAR,"$ 2,019.00",,"$ 2,820.00","$ 2,820.00",
BARRANQUILLA,OCEAN NETWORK EXPRESS PTE. LTD.,GUAYAQUIL,AGENTE PROPIO,21,01/01/2026,31/01/2026,DEPLOYMENT LOGISTICS S.A.S.                                                                         ,DEPLOG,14-15,DOLAR,$ 392.00,,,,
BARRANQUILLA,OCEAN NETWORK EXPRESS PTE. LTD.,GUAYAQUIL,DIRECTA,14,01/01/2026,31/01/2026,                                                                                                    ,GYE00058,15-22,DOLAR,$ 711.00,,"$ 1,122.00","$ 1,122.00",
BEIHAI,MEDITERRANEAN SHIPPING COMPANY,GUAYAQUIL,AGENTE PROPIO,21,05/01/2026,07/01/2026,AIR SEA WORLDWIDE (CHINA) LTD.                                                                      ,308-88880-ST,52-54,DOLAR,"$ 1,257.00",,"$ 1,486.00","$ 1,486.00",
BEIHAI,MEDITERRANEAN SHIPPING COMPANY,GUAYAQUIL,AGENTE PROPIO,21,05/01/2026,07/01/2026,AIR SEA WORLDWIDE (CHINA) LTD.                                                                      ,308-88880-ST,52-54,DOLAR,"$ 1,257.00",,"$ 1,486.00","$ 1,486.00",
BEIHAI,MEDITERRANEAN SHIPPING COMPANY,GUAYAQUIL,AGENTE PROPIO,21,08/01/2026,18/01/2026,AIR SEA WORLDWIDE (CHINA) LTD.                                                                      ,308-88880-ST,52-54,DOLAR,"$ 1,107.00",,"$ 1,286.00","$ 1,286.00",
BEIHAI,MEDITERRANEAN SHIPPING COMPANY,GUAYAQUIL,AGENTE PROPIO,21,08/01/2026,18/01/2026,AIR SEA WORLDWIDE (CHINA) LTD.                                                                      ,308-88880-ST,52-54,DOLAR,"$ 1,107.00",,"$ 1,286.00","$ 1,286.00",
BEIHAI,Pacific International Lines,GUAYAQUIL,AGENTE PROPIO,20,08/01/2025,18/01/2026,RS LOGISTICS LIMITED                                                                                ,RSLOG,45-45,DOLAR,"$ 1,000.00",,"$ 1,200.00","$ 1,200.00",
BEIJIAO,COSCO SHIPPING LINES CO. LTD.,GUAYAQUIL,AGENTE PROPIO,17,09/01/2026,18/01/2026,"GRAND OCEAN SHIPPING CO.,LTD                                                                        ",GRAN OCEAN - FAK,35-55,DOLAR,$ 900.00,,"$ 1,000.00","$ 1,000.00",
BEIJIAO,COSCO SHIPPING LINES CO. LTD.,POSORJA,AGENTE PROPIO,17,09/01/2026,18/01/2026,"GRAND OCEAN SHIPPING CO.,LTD                                                                        ",GRAN OCEAN - FAK,35-55,DOLAR,$ 900.00,,"$ 1,000.00","$ 1,000.00",
BEIJIAO,EVERGREEN LINE,GUAYAQUIL,AGENTE PROPIO,21,06/01/2026,09/01/2026,AIR SEA WORLDWIDE (CHINA) LTD.                                                                      ,G260086,38-38,DOLAR,"$ 1,350.00",,"$ 1,450.00","$ 1,450.00",
BEIJIAO,EVERGREEN LINE,GUAYAQUIL,AGENTE PROPIO,21,06/01/2026,09/01/2026,AIR SEA WORLDWIDE (CHINA) LTD.                                                                      ,G260086,38-38,DOLAR,"$ 1,350.00",,"$ 1,450.00","$ 1,450.00",
BEIJIAO,EVERGREEN LINE,GUAYAQUIL,AGENTE PROPIO,21,10/01/2026,14/01/2026,AIR SEA WORLDWIDE (CHINA) LTD.                                                                      ,G260086,38-38,DOLAR,"$ 1,050.00",,"$ 1,150.00","$ 1,150.00",
BEIJIAO,EVERGREEN LINE,GUAYAQUIL,AGENTE PROPIO,21,10/01/2026,17/01/2026,AIR SEA WORLDWIDE (CHINA) LTD.                                                                      ,G260086,38-38,DOLAR,"$ 1,050.00",,"$ 1,150.00","$ 1,150.00",
BEIJIAO,Maersk A/S trading as Sealand Americas.,POSORJA,AGENTE PROPIO,21,05/01/2026,11/01/2026,AIR SEA WORLDWIDE (CHINA) LTD.                                                                      ,298430991,35-42,DOLAR,"$ 1,190.00",,"$ 1,430.00","$ 1,430.00",
